questionName,questionLink,voteCount,answerLink,summary
如何评价 WE 在 IEM9 的表现？,http://www.zhihu.com/question/28808973,9674,http://www.zhihu.com/question/28808973/answer/42163583,昨天晚上IEM9的比赛，WE战队的小伙子们进入了英雄联盟项目的决赛，但最后输给了TSM，无缘冠军，关注英雄联盟的玩家应该都一大早知道了这个消息，在这次失利之后，我也不禁想起了一些职业生涯的往事。大家现在都会喊我“天王”，缘起就是05年的新加坡WCG，我… 
为什么那么多人对游戏如此热爱？,http://www.zhihu.com/question/30205240,8895,http://www.zhihu.com/question/30205240/answer/47166648,谢邀。有些人不把游戏当真，所以也许不能体会。但有些人——比如我——是会把游戏当真的。心力所注，就在意了。解释一下。以下体验，想必许多人都有。我9岁时，有了第一台FC红白机。《魂斗罗》，三条命，我打不过第二关。念兹在兹，日思夜想，盘算每一个关… 
有哪些可以满足中二情结的日常用品？,http://www.zhihu.com/question/30380948,8867,http://www.zhihu.com/question/30380948/answer/48761384,前方多图预警！！！！！！！！！我不是在开玩笑，真·多图！又.本文仅有唯一发布平台知乎，此外任何营销号、公众号、平台转载前请先联络作者。又.看到评论区很多人表示不屑，说这里的都不是中二只是公主病lolita等等，特此明确一下【中二】的定义。中二：比… 
一个 32 岁的有家庭有娃的男人每天将所有业余时间都用来玩魔兽世界，怎么才能拯救？,http://www.zhihu.com/question/28596384,8769,http://www.zhihu.com/question/28596384/answer/41603454,不匿。我跟你老公差不多，不同的是我是女的。现在我已经不沉迷魔兽，最高级的号92级，玩的人都懂这意味着什么。我很快就会离婚了。被赞最多那个妹子说得很对：沉迷游戏的人都是loser。我们在现实中懒惰无能，一眼就能望到自己人生的尽头，而所看到的只有失… 
Dota 2 在未来游戏人数有可能超过英雄联盟吗？,http://www.zhihu.com/question/21359734,8734,http://www.zhihu.com/question/21359734/answer/19503799,好吧，作为曾经VS联合创始人的我，作为以前在腾讯经常和LOL搞联合营销活动的我，是不是对这个话题还稍微有点儿发言权？不知道LZ说的是国内市场还是国际市场，我暂且按照中国市场来进行回答吧。如果仅仅是讨论覆盖的游戏人数的话，答案是dota2一定不会超过lo… 
为什么越来越多大学生沉溺于游戏中？,http://www.zhihu.com/question/20957940,8082,http://www.zhihu.com/question/20957940/answer/21415083,因为所有游戏的设计都是冲着“人性的弱点”来的。1、即时反馈你在游戏中的任何操作，都会立马视觉化、数据化地显示出来。不要小看每次砍怪物头上飚出的数字，不要小看出招的音效，不要小看伤血的红字和加魔的蓝字，它们都给玩家提供了最最直观即时的反馈。… 
地摊套圈游戏有没有什么鲜为人知的特殊技巧？,http://www.zhihu.com/question/28276075,7709,http://www.zhihu.com/question/28276075/answer/40160655,[转] 套圈成功与否，取决于三个因素，速度，角度，目标宽度我们一个一个说：1.速度。正常人套圈，如下图，抛出的圈的轨迹都是这样的：这样的话，我们知道，圈在落地的瞬间，存在一个速度，将这个速度，在水平和垂直方向分解，可以得到水平方向速度X，垂直方… 
和男朋友打游戏，我表现不好男朋友就骂我，怎么办？,http://www.zhihu.com/question/31164802,7515,http://www.zhihu.com/question/31164802/answer/59382139,别小看打游戏这事。我还真就觉得，打游戏时，很能看出一个人的心性和修养。有一些男生可能会觉得，老子就是图个开心放松，你tm上纲上线干毛？从他们游戏开局的一瞬间开始，身边一起玩的人，不论是女朋友也好，是普通朋友也好，都会忘在脑后，变成单纯的游戏… 
《红色警戒》里的武器有真实的模板吗？,http://www.zhihu.com/question/29758945,7402,http://www.zhihu.com/question/29758945/answer/46323397,【告示：童鞋们莫慌，更新还是没有断滴！但是由于最近事情实在太多，所以真的会比乌龟还慢~如果还有兴趣看完整版的同学可以在评论区里留个言，我全部更新完的时候会逐一通知的~多谢支持：）】（海量图片预警，流量党速速退散，壕请随意）谁都别！拦！着！我… 
《魔兽世界》电影上映时，联盟玩家和部落玩家在电影院门口发生冲突怎么办？,http://www.zhihu.com/question/32256577,7376,http://www.zhihu.com/question/32256577/answer/55970806,记者：各位亲爱的观众，我现在身处的地方是黑门影院，目前正为您直播《魔兽》电影的全球首映礼。距离影片正式上映，只剩下不到 4 个小时的时间。记者：现在从红毯上款款走来、向观众挥手致意的是本片的主角——吴尔丹。疯狂的粉丝：老公，[屏蔽词] 我！（系… 
为什么 2015 年初，上海有卫计委官员呼吁大家生二胎？,http://www.zhihu.com/question/27991444,21020,http://www.zhihu.com/question/27991444/answer/40656161,很多人没有意识到，出生率一旦降低就不可能回来了。 去看现在任何一个现代国家，无论是发达国家还是发展中国家（只要没有经历战争或者极特殊原因），出生率一旦降低，无论给于什么鼓励生育的政策，都几乎没有效果。从来没有一个政策方向，不论意识形态、无… 
这个社会中，有真才实学技术的人，是否总体不如「非常会来事」的万金油混得好？,http://www.zhihu.com/question/20940082,19021,http://www.zhihu.com/question/20940082/answer/55787562,商业社会就像是一片丛林，每个团队都在里面打猎，猎物就是公司的盈利。现在假设有一个团队，领头是一个老头，这老头最初每天一个人在丛林里转悠捡果子和撞到树桩上的死兔子吃，熟悉丛林的每一条路。后来他遇上两个善用长矛的年轻人，年轻人对丛林不熟悉，不… 
茅于轼「廉租房不应该配独立厕所」的经济学逻辑是怎样的？,http://www.zhihu.com/question/22588487,13375,http://www.zhihu.com/question/22588487/answer/21910525,很奇怪这么简单的一个问题竟然没有人能说清楚这里面内在的逻辑。每个人都只是说，这个已经很清楚了，难道真的很清楚了么？不过这也的确不是一个复杂的问题。假设现在政府为了解决贫困人口的住宿问题，新修了一批廉租房投放市场。这些廉租房的租金不可能很贵… 
肯德基和麦当劳的优惠券意义在哪里？为何不直接降价？,http://www.zhihu.com/question/25150716,11558,http://www.zhihu.com/question/25150716/answer/45120785,谢邀。深夜起身写干货。有耐心看到最后的人一定都是人生赢家。先说结论：利润的最大化并不等同于销售量的最大化，而是等同于消费者剩余的最小化（消费者剩余是指消费者愿意支付的最高价格与实际支付的价格之间的差额），消费者剩余越小，企业从消费者身上榨… 
为什么 2015 年初，上海有卫计委官员呼吁大家生二胎？,http://www.zhihu.com/question/27991444,11056,http://www.zhihu.com/question/27991444/answer/39080870,想象一个场景。2015年，差一天就到55岁生日的张大妈正在喜孜孜地打算明天退休了去哪儿跳广场舞，但她却突然晕倒在电视机前——原来延迟退休方案公布了，政府决定，所有人的退休年龄都在10年内延迟到65岁，男性每年延迟半岁，女性每年延迟一岁。2016年，张大… 
女性穿着暴露是否会诱发男性犯罪？如果是，责任应该如何归属？如果不是，穿着暴露是否存在风险？,http://www.zhihu.com/question/20963402,9842,http://www.zhihu.com/question/20963402/answer/60410101,知乎的政治正确我只能说xxxxx。 我就有认识的人非要在黑人聚集区穿着暴露地步行，最后受到了不可逆的伤害。虽然我们不该谴责她，法律也不会因为她穿着暴露而判定责任。但换你你愿意被伤害一下吗？ 你们上面那些人是不是分不清世界是什么样的和世界应该是什… 
贫穷有多可怕？,http://www.zhihu.com/question/21982235,9794,http://www.zhihu.com/question/21982235/answer/32209033,稍不留神跑到了第一，身为国家级贫困县区，每次家乡上新闻基本都是因为穷或者苦。第一次获得如此多的赞同，让我窃喜的同时又黯然神伤。当然这些事情最近的也有两三年了，有些是比较久远的事了，先在因为农村合作医疗的普及，比以前好了很多。另外大家的收入… 
如何评价李光耀？,http://www.zhihu.com/question/20513175,8991,http://www.zhihu.com/question/20513175/answer/42791435,几天前谣传他去世的时候，就有人邀请我答题，我没有说话。毕竟“盖棺论定”是对一个人的尊重。现在李光耀去世了，维基百科页面被挤爆。各大媒体纷纷发文评论。我也写点东西。李光耀这个人，不管你喜不喜欢他，你都得承认他是一个少见的明白人。在人生的每一… 
贫穷有多可怕？,http://www.zhihu.com/question/21982235,8802,http://www.zhihu.com/question/21982235/answer/32290716,中午的时候看到这个问题，准备回答时心里却难受得不行，然后关闭了网页。可我最后还是决定回答。我要讲一个人的故事，故事的主人公是我爸爸。1973年，他出生，当时家里已经有了五个孩子，他是第六个。没米下锅。他的到来无疑成了压垮这个家庭的最后稻草，于… 
是否应该取消对穷人的补贴和福利以激励他们上进？,http://www.zhihu.com/question/34955588,8152,http://www.zhihu.com/question/34955588/answer/60604670,总有那么一二三四个逗货否认阶级壁垒的存在，认为穷人之所以穷是因为不够努力。这样的人要么傻要么坏。补充：1，先说两个故事。晋惠帝执政时期，有一年发生饥荒，百姓没有粮食吃，只有挖草根，食观音土，许多百姓因此活活饿死。消息被迅速报到了皇宫中，晋… 
智能手机（如 iPhone）到底要不要贴膜？应该贴哪种膜？,http://www.zhihu.com/question/20338403,8977,http://www.zhihu.comhttp://www.zhihu.com/question/20338403/answer/49106417,2015.5.27 我这篇仅帮大家入门，如有死磕派想了解更多，推荐大家进一步阅读：次级马里奥的回答（链接）时隔半年的更新首先，感谢大家对这个答案的赞同与支持，本是无心插柳，却得到如此多的赞同，真的很感谢。很多朋友留言或私信问我推荐钢化膜，问的最多的… 
经济学入门必读书籍有哪些值得推荐？,http://www.zhihu.com/question/19661829,7250,http://www.zhihu.com/question/19661829/answer/17527623,我会写出步骤的理由以及为什么这样做。扫了一遍大家的推荐，没办法说对错，但是有时候会让一个入门者读偏颇。这里的推荐会偏宏观一些。微观经济的顶峰是建模，这个已经不是纯粹的经济学了。第一步：正三观 在推荐任何经济学书之前，我不推荐你读任何的 ” … 
为什么最近金融圈集体唱衰余额宝？,http://www.zhihu.com/question/22822843,6941,http://www.zhihu.com/question/22822843/answer/22760844,作为一个银行工作人员，尤其是最近一直在做同业存放和境外同业的金融机构业务，所以对近期的人民币市场利率情况比较了解。上面说到余额宝，也就是货币型基金，只投资于货币市场，如短期国债、回购、央行票据、银行存款等等，风险基本没有，货基其中一个渠道… 
恋爱中有哪些博弈？,http://www.zhihu.com/question/27355234,6923,http://www.zhihu.com/question/27355234/answer/36758647,没想到上了日报，早知道好好排版，加作图解释了————————————————我来讲恋爱中的博弈，不，我来讲恋爱中的算法，不，我来讲算法！！有个著名的问题，叫做stable matching。早年是一个可爱的俄罗斯老头在图论课上教我的，印象非常深刻，拿出… 
茅于轼「廉租房不应该配独立厕所」的经济学逻辑是怎样的？,http://www.zhihu.com/question/22588487,6559,http://www.zhihu.com/question/22588487/answer/25806984,假设你是一个有仁慈之心的富人，刚吃完午饭，还剩下一个肉包子，门外从院子里进来两个男人，衣着近似，都声称他们自己是没有生计、饥肠辘辘的流浪汉，已经饿了一天一夜，乞求你施舍这个肉包子给自己。而事实是其中一个是好占小便宜的路人，一个是真正快要饿… 
如果把富人的钱均给穷人，会有什么后果？,http://www.zhihu.com/question/26575889,6512,http://www.zhihu.com/question/26575889/answer/33539581,特别喜欢 @张小震 的答案。所以我们引申一下~~~你以为富人只是银行卡上数字比你大么？如果只是钱，现金+存款，那均贫富很容易。可现实显然不是这样。好吧，我们把资产算上，比如股票，有价证券，不动产。都量化一下，均分了，会怎样呢？等等，富人们只有资… 
工科生怎么看懂《经济学人》（The Economist）？,http://www.zhihu.com/question/27212373,6359,http://www.zhihu.com/question/27212373/answer/36019580,我跟楼主一样都是工科生，不同的是我读《经济学人》已经有三年了。下面说说我的一些方法和体会吧。------------------------------------------分割线，前方高能预警----------------------------------------------阅读前需要的工具准备：1. 电脑（由于资… 
最近一百年，全球涌现过哪些最顶尖的、最赚钱的公司？它们的共性是什么？,http://www.zhihu.com/question/21007314,6273,http://www.zhihu.com/question/21007314/answer/21272079,截止2013年12月28日，市值在1000亿美元以上，成立时间在1900年之后的，非行政垄断型企业，有以下这些：1911年，IBM，市值1989亿美元，IT科技1916年，波音，市值1028亿美元，航空航天1921年，斯伦贝谢，市值1163亿美元，石油服务1923年，迪士尼，市值1297亿… 
五块钱丢了不心痛，为什么用五块钱买个甜筒掉了就很心痛呢？,http://www.zhihu.com/question/30762691,5979,http://www.zhihu.com/question/30762691/answer/49639607,答案其实很简单。因为你丢掉的不仅仅是一个甜筒，你丢掉的还有五块钱以外的非货币支出，诸如排队时耗掉的时间成本，以及一份渴望解暑的好心情。经济学中有个概念叫「禀赋效应」，指的是当一个人一旦拥有某项物品时，他对该物品的评价要比未拥有前大得多。这… 
大学里金融系到底学了些什么？,http://www.zhihu.com/question/28199696,5391,http://www.zhihu.com/question/28199696/answer/40149535,不请自答，国内某top2高校商学院金融学专业，金融经济学方向（这个鬼就不要理我了），现已毕业并在一家投资股票二级市场的基金工作。第一次在知乎回答问题，是因为觉得这个问题对很多不是很了解大学学什么的高中生甚至大学低年级学生非常重要，往往他们没有… 
体质极差的人如何从头开始恢复身体素质？,http://www.zhihu.com/question/20381470,50282,http://www.zhihu.com/question/20381470/answer/28568570,一个曾经体质极差的人怒答。这不是如何健身的回答，只是一个快要把自己玩死的边缘，把自己拉回来的综合路程。一个吸烟9年，喝酒，作息不规律，熬夜，爱吃重口味油盐等等..的人，一次改变的路程。曾我真的以为我还能呼吸就真的能多活一天似的。大学毕业后的… 
没有锻炼基础的人，如何增肌与减脂？,http://www.zhihu.com/question/20687290,31793,http://www.zhihu.com/question/20687290/answer/15853608,本回答会长期更新……最后一次修改于2014.11.10.有兴趣的可以添加我的微信订阅号：陈柏龄的酱油台（soychen01），分享高质量的健身原创文章。还有这个专栏：健身自习室 - 知乎专栏。本人的相关回答转载时，注明此微信号即可。欢迎自荐健身回答。一两句话是… 
很瘦的人该制定怎样的健身计划？,http://www.zhihu.com/question/22716525,20012,http://www.zhihu.com/question/22716525/answer/22778058,撸主你身高184，体重120斤，真心不算非常轻...我能告诉你，我也差不多184，健身前体重只有100斤嘛？这才叫非常非常非常轻，曾经光天化日在路上被巡警查过身份证，他问我：你吸过毒吗？What the fuck！ =_=凸然后经过不足一年半的健身训练，从100斤涨到现在1… 
有哪些细节之处的好习惯有利于人保持年轻、健康、漂亮的状态？,http://www.zhihu.com/question/26530769,19866,http://www.zhihu.com/question/26530769/answer/33143533,第一次这么多赞，再补充几个吧。有些是看别人的答案总结的。1.能站着就不坐着。比如看电脑的时候，可以把电脑放在一个合适的高度，然后站着使用电脑。2.饭后靠墙站20分钟。后脚踝、小腿、臀部、肩胛骨、后脑勺都要贴着墙。3.睡前把腿伸直放墙上垂直靠着5分… 
独自室外晨跑，如何看起来比较自然？,http://www.zhihu.com/question/21895317,17652,,题主多虑了，一般觉得你傻逼的人不会
怎样在一个暑假内变美？,http://www.zhihu.com/question/31453881,16700,http://www.zhihu.com/question/31453881/answer/53576199,（从头到脚，长文预警！）就喜欢这种简单粗暴的问法，考验耐力执行力的变美大法。这些建议只能让你变得相对美一点，不能变成女神。穷学生只能用笨方法变美，白富美和自带女神光环的我们普通人真心不比也比不起。不喜勿喷勿争论。（不推荐产品，只说自己在用… 
你跑步的时候在想什么？,http://www.zhihu.com/question/25947722,15249,http://www.zhihu.com/question/25947722/answer/52788511,我跑步的时候在想：听见你说！朝阳起又落！我感觉我胃不舒服。我感觉我的鞋不舒服。我感觉我浑身都不舒服！晴雨难测！道路是脚步多！对面那个踢足球的一群臭X不要把球踢过来啊！你敢砸到我我就坐地上哭给你看！我肝疼，要不今天不跑了吧。前面那个女胖子，… 
如何不上健身房，在家有哪些锻炼方式也能有良好的成效 ？,http://www.zhihu.com/question/29083850,14120,http://www.zhihu.comhttp://www.zhihu.com/question/21189435/answer/45444923,邵苏古德体育小编老师运动康复学士体能训练硕士前职业体能师，不小心带过4支国家队，除了专业我还能说说么？健身者必读的理论指导课真正合理的健身训练流程是什么？ - 邵苏的回答首先，在回答问题之前，先说一下楼主给的题目不够清晰，你没有提出健身的目的… 
体重 120 斤和 100 斤的世界是完全不同的吗？,http://www.zhihu.com/question/25378124,13798,http://www.zhihu.com/question/25378124/answer/31502881,+++++++++++++++++++++++分割在前面的分割+++++++++++++++++++++++++++++很多朋友问我的健身计划，我的回答就是没有健身计划前后我锻炼了一年，没有请私教。都是各个论坛微博里去看别人怎么学怎么吃，请看：微博推荐“周薇的勇敢世界”运动不要太讲究有氧无… 
如何让自己变得更优质？,http://www.zhihu.com/question/27712663,11768,http://www.zhihu.com/question/27712663/answer/39242015,每天早上我洗澡的时候，都会想象自己五十年后想成为的样子：优雅，时尚，充满人格魅力的老太太。走过无数国家，经历过数种文化的深层熏陶，会讲六七种语言，从不担心没有工作可以做。具有岁月给的从容与睿智，而保持着对一切事物的好奇心。上图是Linda Rodi… 
普通的伞能保证跳楼不死吗？,http://www.zhihu.com/question/23738647,11345,http://www.zhihu.com/question/23738647/answer/34774743,什么怨什么仇...流泪谢邀...————好好说话 分割线————其实这个问题是困扰了很多人很多很多年...实验地点：消防队训练场 楼高14.9米实验一：普通雨伞 骨架比较结实用一个跟我差不多高的假人模特，往她身上绑上沙袋，让假人体重变成90斤。相当于一个较… 
体重 120 斤和 100 斤的世界是完全不同的吗？,http://www.zhihu.com/question/25378124,10390,http://www.zhihu.comhttp://www.zhihu.com/question/19650985/answer/36253468,*=*多图对比照=*+减了56斤我再有发言权不过了！虎背熊腰大胖子逆袭全过程*****-------------------分割线---------------收到那么多赞我非常高兴，现在补充下我对于减肥饮食和运动的看法。最有效的减肥办法是控制饮食还是多运动？为什么？ - 红莓婆婆的回答… 
如何保持正确的坐姿？,http://www.zhihu.com/question/23238816,10361,http://www.zhihu.com/question/23238816/answer/24014856,不良坐姿会引发很多的问题，我说个严重的例子吧：一个男孩17岁以前很健康，17岁之后开始着迷网络游戏，每天将近12小时在电脑前，18岁的时候觉得走路没有力气，学习成绩也直线下降。家里带着走访过很多医院，大夫都说没有问题，注意多运动就行。到他21岁的时… 
顶级运动员能做出哪些让人惊叹的特技？,http://www.zhihu.com/question/29887160,10304,http://www.zhihu.com/question/29887160/answer/51843275,人生首个答案过千，纪念一下。果断产出是一件极有成就感的事情，感谢知乎，感谢各位知友。*****************************错别字已经改正，以下是原答案********************************************“赤脚大仙” 阿贝贝·比基拉 1960年罗马奥运会男子马拉… 
顶级运动员能做出哪些让人惊叹的特技？,http://www.zhihu.com/question/29887160,9979,http://www.zhihu.com/question/29887160/answer/51136507,转:来源为网络沙瓦尔什·弗拉基米罗维奇·卡拉佩特延 沿着河边进行慢跑训练。突然，一辆载有92人的公交车失控翻到河里，沉到了10米深的水底。大多数乘客被撞击后在水下失去了意识，这次事故原本没有人能够生还。但是，那天Shavarsh在现场。他一刻也没犹豫便… 
真正合理的健身训练流程是什么？,http://www.zhihu.com/question/21189435,9835,http://www.zhihu.com/question/21189435/answer/17466292,下午兴起，拍一张照片，发了个微博。有人就问，这个动作哪个肌肉群用力？我就说全身用力，懒得解释！，因为训练思路若不变，怎么解释都不管用。类似问题，很多人问怎么减肥，怎么增肌，我受伤了怎么办？我发了几个帖子关于如何有效减肥，如何做某个标准动作… 
怎样纠正成年人驼背、耸肩的体态？,http://www.zhihu.com/question/19985122,8771,http://www.zhihu.com/question/19985122/answer/41267792,如何纠正含胸，驼背，头前伸？（原创文章，转载请经本人同意，注明引用）摘要/Abstract下面有一个视频是我们于 人鱼线VS马甲线Sina Visitor System 1月份拍得，各位可以看看咯。上交叉综合症是由詹达于80年代提出的一个由于肌肉不平衡进而导致的上肢体态问… 
体育界各个项目中公认不世出的天才都有哪些？,http://www.zhihu.com/question/29994089,8507,http://www.zhihu.com/question/29994089/answer/55267112,有一个人，共参与 48 次国际比赛，获得冠军 36 次，亚军 6 次，季军 3 次，因伤退出两次。在有统计到的95场国际、国内比赛中，因伤退赛3次，剩下的92场比赛，他得了60次冠军，16次亚军，9次季军，只有7次没能位列三甲。不满25岁就完成奥运会冠军、世锦赛冠… 
如何完成标准的深蹲？,http://www.zhihu.com/question/20768038,7926,http://www.zhihu.com/question/20768038/answer/16112428,蹲几乎是所有运动项目中都会出现的动作模式，深蹲也像是一门文化，从一个人对深蹲的理解可以看出他训练的大致目标和个人训练涉及的知识范围.另一个角度讲，如果你想知道一个多年训练的人或一个私人教练的专业程度如何，问问他深蹲怎么练.我仅从个人角度发表点… 
如何瘦腿，拥有一双长直腿？,http://www.zhihu.com/question/28902940,7654,http://www.zhihu.com/question/28902940/answer/43128005,—多图预警—有更新——请不要评论，我实在找不到。但凡私信必定回复，是不是比评论好多啦—第一张纯粹吸引注意力。嗯 腿没有拍全 希望你们认真看下面的内容 大腿很粗怎么办？空中踩自行车真的值得你试一试，大腿内侧会瘦得很快。在睡觉之前做一组，嗯150下… 
经常上知乎会带来什么错觉？,http://www.zhihu.com/question/25504353,40966,http://www.zhihu.com/question/25504353/answer/30949097,211 985 高考就是纸老虎gpa 3.8 托福雅思都是渣研究生 博士后 本科毕业像条狗北上广 英美欧 要想成功出亚洲 白瘦美 高富帅 满街都是官二代设计师 程序猿 就我一人还没钱大长腿 一八零 六块腹肌才算赢健身房 瑜伽馆 二十开练都算晚ipad mbp 4k才能玩游戏flym… 
如何看待 36 岁清华毕业 IT 男马桶上猝死，死前对母亲说「太累」？,http://www.zhihu.com/question/29357990,34572,http://www.zhihu.com/question/29357990/answer/44260471,谨以这文字，给我的老友，给我们的友谊。死者张斌是我最好的朋友，我们从小学一年级开始一个学校，一直经过初中，高中和大学，毕业后，我在北京，他在南方。他是个善良而内向的人，永远在微笑，母亲和姐姐都是教师，他从小学习就很好，我记得最深的，是大学… 
朋友圈里常发什么样的文字图片的人比较讨厌？,http://www.zhihu.com/question/27910572,29921,http://www.zhihu.com/question/27910572/answer/39609627,终于可以吐槽一下我微信里这位大姐了！！！！以前没有屏蔽她的时候，天天被她刷屏100次啊！！！！！后来屏蔽了她，但她会问我有没有看到她发的东西啊！！！！！看到了还不算还要强制我转发啊！！！！大姐的朋友圈大致分为以下几类：【一、父母平安健康长寿… 
淘宝上买衣服，怎么买出质量，穿出品位？,http://www.zhihu.com/question/26702926,26352,http://www.zhihu.com/question/26702926/answer/33843851,2015/09/04 更新，答主收到几千封私信，发现大家有共同的需求，就是获得更优质的店铺资源，与更多有同样兴趣的人交流购物经验，希望我帮忙鉴别店铺是否靠谱。福利来了！另外，此群以每天30人的数量增加，现在面向广大知友招聘优秀管理员2名，要求1.有责任心… 
淘宝上有哪些网购美食？,http://www.zhihu.com/question/20958648,24209,http://www.zhihu.com/question/20958648/answer/16745450,2014年11月的修改，并且很认真地提醒：1、如果你是第一次看到我的推荐，请谨慎消费，如果可能的话，去看一些我的其它文章，判断下我的风格是否会合你口味，再决定是否购买。2、所有内容均为亲身消费体验，照片是我自己拍摄，和品牌与店主没有任何利益关联。… 
上司经常在微信朋友圈分享「莫言最经典的十句话」，感觉很脑残，怎么办？,http://www.zhihu.com/question/24008135,21517,http://www.zhihu.com/question/24008135/answer/27626473,我爹也是个脑残。他朋友圈里每天必转一个脑残帖子，例如：“别人为什么愿意和你相处？太经典了！” “麻将桌上看清一个人，超准！” “什么样的女人才可以把男人引向成功？？？”他从来不看书不读报。他阅遍所有抗战谍战大戏，对手撕鬼子大呼过瘾。他酷爱新… 
知乎上关于美食的精彩问答有哪些？,http://www.zhihu.com/question/22744751,20983,http://www.zhihu.com/question/22744751/answer/22473212,.一、吃什么？有哪些东西直接用清水煮一下，或者蘸点调料就特别好吃的？最好吃的方便面（包括煮面），是哪个牌子的哪种口味？哪些东西吃了之后，会让人幸福感提升而感觉相见恨晚？有哪些看上去让人没食欲实际上非常好吃的东西？市面上的下饭菜罐头酱菜腌菜… 
为什么有人说「百度全面降低了中国的互联网体验」？,http://www.zhihu.com/question/29740126,19305,http://www.zhihu.com/question/29740126/answer/45447872,好多人在抱怨，给大家放个传送门，如何避免百度的软件继续在你的电脑耍流氓系列。如何禁止安装百度杀毒？ - 杀毒软件建议大家参考 @赵轩的答案，完成对百度软件的抵抗。更新一条，也算是防范百度下载到百度改过的程序的方法，出处是评论区.@金名 :我说个我昨… 
